person_age,loan_percent_income,loan_int_rate,person_home_ownership,person_income,loan_status
22,0.15,16.02,RENT,59000,1
21,0.1,11.14,OWN,9600,0
25,0.15,12.87,MORTGAGE,9600,1
23,0.15,15.23,RENT,65500,1
24,0.15,14.27,RENT,54400,1
21,0.25,7.14,OWN,9900,1
26,0.45,12.42,RENT,77100,1
24,0.44,11.11,RENT,78956,1
24,0.42,8.9,RENT,83000,1
21,0.16,14.74,OWN,10000,1
22,0.41,10.37,RENT,85000,1
21,0.45,8.63,OWN,10000,1
23,0.37,7.9,RENT,95000,1
26,0.32,18.39,RENT,108160,1
23,0.3,7.9,RENT,55000,0
23,0.06,10.65,MORTGAGE,55000,0
23,0.29,7.9,RENT,55000,0
23,0.32,20.25,RENT,92111,1
23,0.31,18.25,RENT,55000,1
24,0.16,10.99,MORTGAGE,10800,1
25,0.22,7.49,RENT,55000,0
25,0.25,16.77,RENT,55000,0
22,0.15,17.58,RENT,65000,1
24,0.14,7.29,OWN,10980,0
22,0.42,14.54,RENT,80000,1
24,0.49,12.68,RENT,67746,1
21,0.42,17.74,MORTGAGE,11000,1
23,0.13,9.32,OWN,11000,0
24,0.5,9.99,RENT,65000,1
21,0.35,12.84,OTHER,11389,1
21,0.17,11.12,OWN,11520,1
25,0.27,6.62,RENT,55000,0
26,0.33,14.17,RENT,95000,1
25,0.08,13.85,RENT,55000,0
26,0.03,13.49,MORTGAGE,55000,0
21,0.21,7.51,OWN,12000,1
22,0.15,18.39,RENT,48000,1
24,0.47,14.54,RENT,64000,1
25,0.4,16.89,RENT,75000,1
23,0.42,10.99,RENT,71500,1
26,0.41,17.99,RENT,62050,1
24,0.21,12.69,OWN,12000,1
26,0.07,7.88,MORTGAGE,55000,0
23,0.08,19.41,OWN,55000,0
26,0.03,10.38,OWN,55000,0
26,0.08,15.33,MORTGAGE,55000,0
25,0.06,16.45,MORTGAGE,55000,0
26,0.37,7.49,RENT,80690,1
22,0.38,12.69,RENT,66300,1
26,0.34,6.62,RENT,89028,1
24,0.38,10.99,RENT,78000,1
23,0.38,18.62,RENT,78000,1
23,0.33,15.23,RENT,92004,1
23,0.31,10.65,RENT,97000,1
25,0.25,7.9,RENT,55000,0
26,0.04,15.96,RENT,55000,0
26,0.07,11.48,RENT,55000,0
23,0.13,10.99,OWN,55000,0
25,0.23,7.29,RENT,55000,0
24,0.15,10.99,OWN,12000,0
21,0.23,5.99,RENT,55000,0
22,0.04,11.58,OWN,55000,0
26,0.04,10.99,MORTGAGE,55000,1
25,0.1,15.7,MORTGAGE,55000,1
22,0.42,15.99,RENT,70000,1
22,0.13,14.84,MORTGAGE,12000,0
26,0.11,10.99,OWN,55000,0
25,0.08,14.42,MORTGAGE,55000,0
24,0.04,6.99,MORTGAGE,55000,0
25,0.1,13.49,RENT,55000,0
25,0.25,10.99,OWN,12000,1
22,0.49,10.99,RENT,56950,1
21,0.25,13.61,OWN,12000,1
23,0.43,7.9,RENT,65000,1
26,0.33,7.49,RENT,85000,1
26,0.15,7.51,OWN,12000,1
22,0.32,9.91,RENT,88000,1
21,0.35,13.48,OWN,12000,1
22,0.4,7.14,OWN,12000,1
24,0.34,15.99,RENT,83004,1
24,0.07,12.98,RENT,55000,0
26,0.02,13.57,RENT,55000,0
25,0.28,12.69,RENT,100000,0
26,0.25,8.9,RENT,110000,0
26,0.23,10.99,OWN,12000,1
22,0.26,10.99,RENT,108000,1
23,0.19,11.11,RENT,55000,0
24,0.4,10.99,RENT,69000,1
21,0.27,15.68,MORTGAGE,12000,1
22,0.39,13.06,RENT,70000,1
22,0.1,10.99,OWN,55000,0
26,0.37,15.62,RENT,73200,1
24,0.33,13.49,RENT,83000,1
24,0.37,10.99,RENT,73399,1
23,0.42,11.71,RENT,62500,1
23,0.21,12.69,RENT,55000,0
24,0.13,13.57,OWN,12360,0
22,0.42,10.99,RENT,60000,1
25,0.09,14.27,MORTGAGE,55000,0
24,0.09,8.88,OWN,55000,0
26,0.09,12.18,MORTGAGE,55000,0
25,0.05,14.42,MORTGAGE,55000,1
26,0.11,14.17,MORTGAGE,55000,0
25,0.15,13.99,MORTGAGE,55000,0
23,0.3,10.99,RENT,83000,1
22,0.16,5.42,MORTGAGE,12600,1
25,0.14,13.61,OWN,12600,0
21,0.15,12.73,RENT,42500,1
24,0.15,10.99,RENT,41000,1
25,0.23,12.87,OWN,12816,1
24,0.28,9.91,MORTGAGE,12960,1
26,0.09,11.49,MORTGAGE,55000,0
25,0.13,19.91,MORTGAGE,55000,0
26,0.16,10.65,MORTGAGE,55000,1
24,0.03,10.99,RENT,55000,0
24,0.35,11.83,MORTGAGE,12960,1
23,0.18,13.49,OWN,12996,1
22,0.15,14.59,RENT,42000,1
26,0.15,9.64,RENT,48000,1
25,0.28,14.59,OWN,12996,1
22,0.37,10.99,OWN,12996,1
25,0.15,16.35,RENT,42360,1
21,0.15,10.99,RENT,49000,1
25,0.11,18.67,MORTGAGE,55000,0
26,0.01,9.32,RENT,55000,0
23,0.03,8.63,RENT,55000,0
26,0.11,10.08,MORTGAGE,55000,0
22,0.15,11.83,RENT,49464,1
23,0.5,7.9,RENT,50000,1
25,0.5,5.99,RENT,50000,1
24,0.15,15.33,RENT,44000,1
23,0.5,11.83,RENT,50000,1
22,0.5,10.36,RENT,50004,1
22,0.5,12.23,RENT,50004,1
22,0.48,11.11,RENT,52000,1
23,0.38,7.9,OWN,13200,1
24,0.11,11.58,MORTGAGE,55000,0
23,0.1,8.9,MORTGAGE,55000,0
25,0.12,16.07,MORTGAGE,55000,0
26,0.09,14.22,MORTGAGE,55000,0
23,0.16,14.79,MORTGAGE,55000,0
26,0.06,7.88,MORTGAGE,55000,0
23,0.48,13.22,RENT,52000,1
26,0.15,11.86,RENT,46000,1
22,0.47,13.43,RENT,53000,1
26,0.15,15.28,RENT,47000,1
23,0.15,17.93,RENT,47000,1
23,0.11,9.25,MORTGAGE,13200,0
21,0.34,12.98,OWN,13200,1
22,0.08,10.62,MORTGAGE,55000,0
26,0.1,11.83,OWN,55000,0
26,0.15,18.43,RENT,48000,1
22,0.45,10.99,RENT,54996,1
24,0.45,10.99,RENT,55000,1
